I07U,I07U_Interp
a bird is flying,1
a green bird is flying in the sky,1
the green is flying,0
bird is flying,1
the bird is flying,1
the green bird is flying,1
a bird is enjoying its day,0
the bird's flying,1
the green bird is flying in the sky,1
a bird is flying on the sky,1
the bird is flapping its wings to fly,1
the bird is flying on the sky,1
a green bird is flying,1
the bird is flying to find food,1
a brid in the air,0
the parrot is flying,1
a little green bird is waving its wings,1
a green bird is flying up high on the sky,1
the bird is flying in the sky,1
the bird is flapping its wings,1
a green bird is taking off,1
the bird is waving its wings,1
the green bird is flying in the blue sky,1
a birding is shaking its wings,1
the birding is green,0
a green feather bird is flying on the sky,1
the little bird is learning flying,1
the bird is flapping his wings,1
the bird is flying in the air,1
it is flapping its wings,0
the bird is landing,1
the green bird is flapping its wings,1
the wind has lifted the bird high into the air,1
a small bird flaps its wings,1
it is taking off,0
the bird flapped his wings,1
a bird on wing,0
dont know,0
the colorful bird is flapping it's wings,1
a parrot flies,1
"a parrot, frozen in solid ice, desperately tries to break free",1
the bird is flying high in the sky,1
the bird is flying to find somewhere to land,1
bird is soaring,1
there is a colorful bird flying,1
this is a picture of a colorful bird flying,1
a hummingbird is flying,1
a bird is flying through the blue sky,1
a bird is soaring,1
a bird flying,1
a green bird flying,1
a bird is flying in the air,1
the bird is flying north to for the summer,1
the bird is gliding in the wind,1
a pretty bird is flying,1
"a pretty green bird with blue and red markings on it's head, is flying by",1
this bird is happily flapping its wings,1
this bird is flapping its wings,1
an animal flapping its wings,0
a green bird is flapping it's wings,1
"the bird is green, blue, red and purple",1
bird flying,1
birdy flyiung high,1
a green bird takes flight,1
the bird needs to flap his wings in order to fly,1
bird flies,1
wings fluttered to lift bird's body,1
the green bird flies gracefully,1
a green bird looks for a place to land,1
a bird in flight,1
the bird is flying through the air,1
"flapping his wings, the bird glides through the air",1
a bird is whipping up the air around him,1
a tropical bird is flying,1
the bird is fluttering his wings,1
parrots like to fly free,0
to fly free is a parrots dream,0
a bird'/ wings are flapping,1
the bird has its wings spread,1
the bird flying,1
the bird is flying a way,1
a green bird flies,1
this bird is learning to fly,1
the flying bird has places to go,1
a colorful bird is flying in the air,1
flying in the air is a colorful bird,1
the bird flies,1
there is a bird flying,1
flying bird,0
hummingbird wings move quickly,1
a bird is flapping it's wings to fly,1
a bird is flapping its wings,1
a green bird with red and blue markings is flying,1
a bird is flapping it's wings,1
there is s green bird flying,1
a bird is flspping his wings,1
a colorful bird is flying,1
the atmosphere is being beaten by a colorful bird,0
a green and red bird flying,1
the colorful bird is flying,1
bird in sky,1
flying,0
in the sky there is a bird,1
a parrot is flying,1
the green bird flies in the sky,1
the parrot flaps its wings,1
not sure where i am going,0
the bird is falling to is death is a high propulsion jet of air,0
the bird is soaring through the sky,1
the parrot is flying around,1
the parrot is flying around looking for a place to land,1
a bird flies,1
the bird is flapping its wings and flying,1
the bird's wings are helping it to fly,1
a bird is flying in the blue sky,1
the bird is happily flapping his wings,1
the green bird flies,1
the bird is green,1
a bird is flying through the air,1
the air is being displaced by a bird,0
"soaring through the air, navigating the shifting winds is second nature to birds",0
the parakeet flaps its wings,1
"the bird appears to be preparing to land, or just became airborne",1
the bird flaps it's wings to fly,1
the bird is in the sky,1
a green bird flies through the air,1
a bird flaps her wings,1
the bird flies in the air,1
in the air the bird flies,1
"the bird is flying in a clear, blue sky",1
the bird soars high above the ground,1
a bird is in the sky,1
birds fly,1
that is a pretty bird,1
a bird flaps its wings,1
a bird soars,1
