ResponseID,Response,Core,Answer,Gramm,Interp,Verif,parse,ldh,xdh,xdx,AnnoScore
I24U-gNSC-p284-r1,Cold,0,0,0,0,0,"1	cold	_	FW	FW	_	0	root	_	_
2	.	_	.	.	_	1	punct	_	_","['root$@%cold$@%VROOT', 'punct$@%.$@%cold']","['x$@%cold$@%VROOT', 'x$@%.$@%cold']","['x$@%cold$@%x', 'x$@%.$@%x']",0
I24U-gNSC-p206-r1,The little boy yawns as he's about to fall asleep.,1,1,1,1,1,"1	the	_	DT	DT	_	3	det	_	_
2	little	_	JJ	JJ	_	3	amod	_	_
3	boy	_	NN	NN	_	4	nsubj	_	_
4	yawn	_	VBZ	VBZ	_	0	root	_	_
5	as	_	IN	IN	_	8	mark	_	_
6	he	_	PRP	PRP	_	10	xsubj	_	_
7	be	_	VBZ	VBZ	_	8	aux	_	_
8	about	_	IN	IN	_	4	advcl	_	_
9	to	_	TO	TO	_	10	aux	_	_
10	fall	_	VB	VB	_	8	xcomp	_	_
11	asleep	_	RB	RB	_	10	acomp	_	_
12	.	_	.	.	_	4	punct	_	_","['det$@%the$@%boy', 'amod$@%little$@%boy', 'nsubj$@%boy$@%yawn', 'root$@%yawn$@%VROOT', 'mark$@%as$@%about', 'xsubj$@%he$@%fall', 'aux$@%be$@%about', 'advcl$@%about$@%yawn', 'aux$@%to$@%fall', 'xcomp$@%fall$@%about', 'acomp$@%asleep$@%fall', 'punct$@%.$@%yawn']","['x$@%the$@%boy', 'x$@%little$@%boy', 'x$@%boy$@%yawn', 'x$@%yawn$@%VROOT', 'x$@%as$@%about', 'x$@%he$@%fall', 'x$@%be$@%about', 'x$@%about$@%yawn', 'x$@%to$@%fall', 'x$@%fall$@%about', 'x$@%asleep$@%fall', 'x$@%.$@%yawn']","['x$@%the$@%x', 'x$@%little$@%x', 'x$@%boy$@%x', 'x$@%yawn$@%x', 'x$@%as$@%x', 'x$@%he$@%x', 'x$@%be$@%x', 'x$@%about$@%x', 'x$@%to$@%x', 'x$@%fall$@%x', 'x$@%asleep$@%x', 'x$@%.$@%x']",1
I24U-gNSC-p180-r1,A boy is sleeping in a twin bed.,1,1,1,1,1,"1	a	_	DT	DT	_	2	det	_	_
2	boy	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	sleep	_	VBG	VBG	_	0	root	_	_
5	in	_	IN	IN	_	0	erased	_	_
6	a	_	DT	DT	_	8	det	_	_
7	twin	_	JJ	JJ	_	8	amod	_	_
8	bed	_	NN	NN	_	4	prep_in	_	_
9	.	_	.	.	_	4	punct	_	_","['det$@%a$@%boy', 'nsubj$@%boy$@%sleep', 'aux$@%be$@%sleep', 'root$@%sleep$@%VROOT', 'erased$@%in$@%WORDERASED', 'det$@%a$@%bed', 'amod$@%twin$@%bed', 'prep_in$@%bed$@%sleep', 'punct$@%.$@%sleep']","['x$@%a$@%boy', 'x$@%boy$@%sleep', 'x$@%be$@%sleep', 'x$@%sleep$@%VROOT', 'x$@%in$@%WORDERASED', 'x$@%a$@%bed', 'x$@%twin$@%bed', 'x$@%bed$@%sleep', 'x$@%.$@%sleep']","['x$@%a$@%x', 'x$@%boy$@%x', 'x$@%be$@%x', 'x$@%sleep$@%x', 'x$@%in$@%x', 'x$@%a$@%x', 'x$@%twin$@%x', 'x$@%bed$@%x', 'x$@%.$@%x']",1
I24U-gNSC-p178-r1,boy is sleeping,1,1,1,1,1,"1	boy	_	NN	NN	_	3	nsubj	_	_
2	be	_	VBZ	VBZ	_	3	aux	_	_
3	sleep	_	VBG	VBG	_	0	root	_	_
4	.	_	.	.	_	3	punct	_	_","['nsubj$@%boy$@%sleep', 'aux$@%be$@%sleep', 'root$@%sleep$@%VROOT', 'punct$@%.$@%sleep']","['x$@%boy$@%sleep', 'x$@%be$@%sleep', 'x$@%sleep$@%VROOT', 'x$@%.$@%sleep']","['x$@%boy$@%x', 'x$@%be$@%x', 'x$@%sleep$@%x', 'x$@%.$@%x']",1
I24U-gNSC-p241-r1,A child is asleep in bed.,1,0,1,1,1,"1	a	_	DT	DT	_	2	det	_	_
2	child	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	cop	_	_
4	asleep	_	JJ	JJ	_	0	root	_	_
5	in	_	IN	IN	_	0	erased	_	_
6	bed	_	NN	NN	_	4	prep_in	_	_
7	.	_	.	.	_	4	punct	_	_","['det$@%a$@%child', 'nsubj$@%child$@%asleep', 'cop$@%be$@%asleep', 'root$@%asleep$@%VROOT', 'erased$@%in$@%WORDERASED', 'prep_in$@%bed$@%asleep', 'punct$@%.$@%asleep']","['x$@%a$@%child', 'x$@%child$@%asleep', 'x$@%be$@%asleep', 'x$@%asleep$@%VROOT', 'x$@%in$@%WORDERASED', 'x$@%bed$@%asleep', 'x$@%.$@%asleep']","['x$@%a$@%x', 'x$@%child$@%x', 'x$@%be$@%x', 'x$@%asleep$@%x', 'x$@%in$@%x', 'x$@%bed$@%x', 'x$@%.$@%x']",0.907
I24U-gNSC-p280-r1,A boy is sleeping in his bed.,1,1,1,1,1,"1	a	_	DT	DT	_	2	det	_	_
2	boy	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	sleep	_	VBG	VBG	_	0	root	_	_
5	in	_	IN	IN	_	0	erased	_	_
6	he	_	PRP$	PRP$	_	7	poss	_	_
7	bed	_	NN	NN	_	4	prep_in	_	_
8	.	_	.	.	_	4	punct	_	_","['det$@%a$@%boy', 'nsubj$@%boy$@%sleep', 'aux$@%be$@%sleep', 'root$@%sleep$@%VROOT', 'erased$@%in$@%WORDERASED', 'poss$@%he$@%bed', 'prep_in$@%bed$@%sleep', 'punct$@%.$@%sleep']","['x$@%a$@%boy', 'x$@%boy$@%sleep', 'x$@%be$@%sleep', 'x$@%sleep$@%VROOT', 'x$@%in$@%WORDERASED', 'x$@%he$@%bed', 'x$@%bed$@%sleep', 'x$@%.$@%sleep']","['x$@%a$@%x', 'x$@%boy$@%x', 'x$@%be$@%x', 'x$@%sleep$@%x', 'x$@%in$@%x', 'x$@%he$@%x', 'x$@%bed$@%x', 'x$@%.$@%x']",1
I24U-gNSC-p200-r1,The boy is sleepy.,0,0,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	boy	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	cop	_	_
4	sleepy	_	JJ	JJ	_	0	root	_	_
