ResponseID,Response,Core,Answer,Gramm,Interp,Verif
I06U-gNSF-p143-r1,The boy is carrying groceries. ,1,1,1,1,1
I06U-gNSF-p151-r1,The boy is carrying a bag of groceries.,1,1,1,1,1
I06U-gNSF-p294-r1,The boy is carrying a heavy bag of groceries.,1,1,1,1,1
I06U-gNSF-p295-r1,The boy is carrying groceries.,1,1,1,1,1
I06U-gNSF-p296-r1,The boy is carrying a large bag of groceries.,1,1,1,1,1
I06U-gNSF-p297-r1,The boy is carrying groceries.,1,1,1,1,1
I06U-gNSF-p298-r1,He has groceries,0,0,1,1,1
I06U-gNSF-p304-r1,The boy is carrying a bag of groceries.,1,1,1,1,1
I06U-gNSF-p305-r1,The boy is carrying groceries.,1,1,1,1,1
I06U-gNSC-p322-r1,The kid is hauling in groceries. ,1,1,1,1,1
I06U-gNSC-p323-r1,Buy grocery,0,0,0,0,0
I06U-gNSC-p325-r1,The boy is carrying groceries,1,1,1,1,1
I06U-gNSC-p334-r1,A boy carries a bag of groceries. ,1,0,1,1,1
I06U-gNSC-p343-r1,Little boy Towing the grocery to the car,1,1,0,1,1
I06U-gNSC-p344-r1,boy is helping carry groceries,1,1,0,1,1
I06U-gNSC-p349-r1,A young boy is carrying a bag of groceries.,1,1,1,1,1
I06U-gNSC-p352-r1,A boy is carring groceries. ,1,1,0,1,1
I06U-gNSC-p355-r1,A boy is carrying groceries.,1,1,1,1,1
I06U-gNSC-p356-r1,A boy is bringing in the groceries. ,1,1,1,1,1
I06U-gNSC-p358-r1,Carrying groceries ,0,0,1,0,1
I06U-gNSC-p359-r1,The boy is carrying groceries.,1,1,1,1,1
I06U-gNSC-p363-r1,The boy is excited to carry the groceries in the house. ,1,0,1,1,1
I06U-gNSC-p364-r1,The boy is carrying a very large bag of groceries. ,1,1,1,1,1
I06U-gNSC-p365-r1,This boy is carrying the groceries.,1,1,1,1,1
I06U-gNSC-p367-r1,A boy caring groceries.,0,1,0,0,1
I06U-gNSC-p370-r1,A boy is carrying a bag of groceries,1,1,1,1,1
I06U-gNSC-p374-r1,The boy is carrying groceries.,1,1,1,1,1
I06U-gNSC-p377-r1,groceries,0,0,0,0,0
I06U-gNSC-p379-r1,"""This bag's not too heavy"" says the young boy",0,0,0,0,0
I06U-gNSC-p380-r1,A boy carrying the fruit basket.,0,1,0,1,0
I06U-gNSC-p383-r1,This boy enjoys helping with the groceries.,0,0,1,0,1
I06U-gNSC-p385-r1,THE BOY IS CARRYING THE GROCERIES.,1,1,1,1,1
I06U-gNSC-p387-r1,He is helping carry the groceries.,1,1,1,1,1
I06U-gNSC-p390-r1,Bringing home the groceries.,0,0,1,0,1
I06U-gNSC-p393-r1,A boy is carrying a giant bag of groceries.,1,1,1,1,1
I06U-gNSC-p394-r1,The boy is carrying the groceries,1,1,1,1,1
I06U-gNSC-p396-r1,The boy is carrying a grocery bag,1,1,1,1,1
I06U-gNSC-p401-r1,The boy knows th bag is about to drop.,0,0,0,0,0
I06U-gNSC-p405-r1,A boy is carrying groceries. ,1,1,1,1,1
I06U-gNSC-p407-r1,The child is carrying a grocery bag,1,1,1,1,1
I06U-gNSC-p408-r1,This guy came from grocery ,0,0,0,0,1
I06U-gNSC-p409-r1,A child is carrying a bag of groceries.,1,1,1,1,1
I06U-gNSC-p410-r1,The boy is very happy to help carry the groceries.,1,0,1,1,1
I06U-gNSC-p411-r1,A smiling boy is carrying a bag of groceries.,1,1,1,1,1
I06U-gNSC-p413-r1,The boy carries groceries.,1,0,1,1,1
I06U-gNSC-p416-r1,Boy carrying groceries,1,1,0,1,1
I06U-gNSC-p417-r1,The boy helps with shopping,0,0,1,0,1
I06U-gNSC-p418-r1,A boy is carrying groceries.,1,1,1,1,1
I06U-gNSC-p420-r1,A blond boy is carrying a bag of groceries.,1,1,1,1,1
I06U-gNSC-p423-r1,A boy is carrying a bag of groceries. ,1,1,1,1,1
I06U-gNSC-p424-r1,A boy way too excited about helping with the groceries ,0,0,0,0,0
I06U-gNSC-p429-r1,A young boy excitedly carries a bunch of groceries,1,0,1,1,1
I06U-gNSC-p431-r1,A boy with groceries,0,0,0,1,1
I06U-gNSC-p433-r1,The boy is carrying groceries.,1,1,1,1,1
I06U-gNSC-p435-r1,boy,0,0,0,0,0
I06U-gNSC-p436-r1,A boy is carrying home groceries.,1,1,1,1,1
I06U-gNSC-p438-r1,The boy is carrying groceries.,1,1,1,1,1
I06U-gNSC-p447-r1,A boy is carrying groceries.,1,1,1,1,1
I06U-gNSC-p448-r1,The boy is excited to help with the groceries.,0,0,1,0,1
I06U-gNSC-p450-r1,received my groceries,0,0,0,0,0
I06U-gNSC-p451-r1,The boy is shopping.,0,1,1,1,0
I06U-gNSC-p452-r1,The son went grocery shopping and is helping carrying groceries in.,1,1,1,1,1
I06U-gNSC-p453-r1,He is probably wondering what is in the grocery bag.,0,1,1,0,0
I06U-gNSC-p455-r1,The boy carries groceries.,1,0,1,1,1
I06U-gNSC-p456-r1,A boy is carrying a grocery bag full of fruit.,1,1,1,1,1
I06U-gNSC-p457-r1,The boy is carrying groceries. ,1,1,1,1,1
I06U-gNSC-p460-r1,The boy is carrying a large bag of groceries. ,1,1,1,1,1
I06U-gNSC-p461-r1,The boy is carrying a bag of groceries,1,1,1,1,1
I06U-gNSC-p462-r1,A boy is carrying a bag of groceries.,1,1,1,1,1
I06U-gNSC-p467-r1,A boy is helping his parent bring groceries in from the car.,1,1,1,1,0
I06U-gNSC-p469-r1,A boy carries a bag of groceries.,1,0,1,1,1
I06U-gNSC-p472-r1,The small boy is carrying a large basket of groceries.,0,1,1,1,0
I06U-gNSC-p477-r1,The boy carries in the groceries. ,1,0,1,1,1
I06U-gNSC-p479-r1,A boy is carrying groceries.,1,1,1,1,1
I06U-gNSC-p482-r1,The boy is carrying groceries. ,1,1,1,1,1
I06U-gNSC-p483-r1,A boy carries groceries.,1,0,1,1,1
I06U-gNSC-p484-r1,"A lad is transporting an unwieldy bag of groceries as best as he can manage, looking quite positive nevertheless.",1,1,1,1,1
I06U-gNSC-p485-r1,The boy carries the bag.,1,0,1,1,1
I06U-gNSC-p486-r1,The boy likes to carry groceries.,1,0,1,1,1
I06U-gNSC-p487-r1,a boy is holding,0,1,0,0,0
I06U-gNSC-p491-r1,The boy is carrying groceries.,1,1,1,1,1
I06U-gNSC-p493-r1,A boy is carrying a grocery bag,1,1,1,1,1
I06U-gNSC-p494-r1,The boy is carrying groceries.,1,1,1,1,1
