I05U,I05U_Verif
a math teacher is teaching her student,1
the teacher is teaching math to a student,1
a teacher is teaching math in elementary school,1
the teacher is trying to teach the students to do the basic math like plus and minors,1
teacher is teaching math,1
the teacher is teaching,1
the women is teachings math and the boy is learning,0
a teacher is teaching math for her students,1
the woman is teaching math to students,1
a woman is having a math class,1
the student is taking a math class,1
the teacher teach math for students,1
a teacher is teaching her student math,1
the boy's taking math class,1
a student is taking math class,1
the teacher is teaching math on the blackboard,1
a teacher is teaching a boy math,1
a boy is taking a math class,1
the woman is teaching the math,1
the teacher is teaching the student,1
a student is listening to the math class,1
the woman is teaching math,1
the woman is teaching a child math,1
the teacher is teaching mathematics to the boy in a classroom,1
the teacher is teaching the math to the boy,1
a teacher teaches a student math problems,1
a teacher is teaching the math problem to a boy,1
a teacher is teaching math to a boy,1
the teacher is teaching maths,1
a women is teaching a math class,0
the woman is teaching kindergarten kid learning math,1
a boy having a math course,1
the lady is teaching addition and subtraction to the little boy,1
the teacher is teaching math,1
a teacher is teaching the student math,1
the woman is teaching math to the boy,1
the teacher is giving lecture on basic math to the boy,1
the teacher is teaching a student math,1
the woman is teaching maths to the boy,1
the teacher is teaching the class,1
the boy is having the math class,1
the teacher is teaching students math,1
the teacher is teaching the boy math,1
a boy is sitting in the classroom,1
a teacher is teaching mathematics,1
the woman is teaching the mathematics to her students,1
a teacher is teaching math,1
the teacher is teaching a math class,1
the teacher is teaching a boy math,1
the woman is teaching primary school mathematics of addition and subtraction to the boy,1
math teacher is having a mathematics class,1
a math teacher is giving a lecture to a male student,1
the woman is teaching the boy math,1
a woman is teaching on class,1
the teacher is teaching calculations,1
two plus two is four,0
a math teacher is teaching calculation to her students,1
the teacher is teaching math to her student,1
she is teaching the math,1
the math teacher is giving a class to students,1
the woman is teaching mathematics to a boy,1
the boy is learning math from his teacher,1
the teacher is having a math class,1
the boy is having a math class,1
the teacher is teaching math facts,1
the student is learning math facts,1
the woman is teaching a math class,1
the student is learning about math,1
the teacher is teaching addition,1
the pupil is learning addition,1
the teacher is giving a math lesson to the boy,1
the teacher is giving a math lesson,1
the boy is receiving a math lesson,1
the woman is teaching the student,1
the boy is learning math at school,1
she is teaching math,1
he is learning,1
the teacher is using the blackboard to teach math,1
she is tutoring the boy in math,1
the teacher is demonstrating answers to a math problem,1
the boy is learning math from the teacher,1
the child is in school,1
the teacher is teaching math to the child,1
class,1
school,0
a teacher is going over math problems,1
the child is learning math from the teacher,1
a teacher gives a math lesson to a single student,1
"a boy, one who looks far too old for such basic math, listens to a lecture from an adult",1
the teacher teaching the young boy,1
the teacher is teaching the boy adding and subtraction,1
teacher is tutoring,1
a child is at school learning math,1
a teacher is teaching a student math,1
a student is learning,1
a teacher is teaching,1
a teacher is giving a math lesson,1
a boy is in his math class,1
a woman is teaching a child,1
a child is learning from a woman,1
a boy being taught math,1
a teacher teaching math to a boy,1
the lady is teaching the boy math,1
the boy is sitting in math class,1
the student is learning new math skills,1
the teacher is teaching her student addition and subtraction,1
the teacher is explaining addition and subtraction to the student,1
the pupil is learning about addition and subtraction from the teacher,1
it seems as if nobody showed up to school,0
this little boy is the only one interested in learning at school,0
a teacher teaching a student,1
a student learning from a teacher,1
a teacher is teaching a student math on a chalk board,1
a teacher is teaching in front of a class,1
blank,0
space,0
the student is learning math,1
math,0
math class,1
the teacher wrote two math problems on the board,1
an elementary schoolboy is receiving math tutoring,1
four is the addition of two and two,1
two plus two makes four,1
the teacher is explaining simple math to the boy,1
the boy is learning math today,1
time for math class,1
two equations that end in two,0
the teacher is explaining the math problem,1
the student is learning a new math problem,1
the kid is learning math,1
the teacher ain't bad,0
a teacher is teaching an arithmetic lesson,1
a young boy is paying attention to a math lesson,1
the boy is learning from the teacher,1
the teacher is teaching the boy,1
the students are listening to the teacher,0
the female teacher shows the student the correct answer,1
a student is getting extra help,0
a boy is learning math,1
the child is learning,1
this lady teaching math,1
this lady tutoring math,1
a math teacher is giving a lesson in addition and subtraction,1
a teacher is giving a math lesson to a student,1
