Source,Response,A1,A2
I01U_Core,The boy is dancing to the music,1,1
I01U_Core,A young male is dancing,1,1
I01U_Core,A boy is moving to music,1,1
I01U_Core,The boy is dancing.,1,1
I01U_Core,The boy likes music.,0,0
I01U_Core,The boy is listening to music.,0,0
I01U_Core,The boy is singing a song.  ,0,0
I01U_Core,a guy is dancing,1,1
I01U_Core,a guy is singing ,0,0
I01U_Core,The young boy is dancing to music.,1,1
I01U_Core,The music makes the young boy smile.,0,0
I01U_Core,A boy is dancing to music.,1,1
I01U_Core,The music makes the boy dance.,1,1
I01U_Core,An adolescent is dancing merrily to some music.,1,1
I01U_Core,The music is stirring up the man's exhilaration to exercise to the rhythm.,0,0
I01U_Core,The boy is dancing to music.,1,1
I01U_Core,Music fills the air and makes the boy happy.,0,0
I01U_Core,The teen is dancing to music. ,1,1
I01U_Core,The boy is happy. ,0,0
I01U_Core,The boy is dancing.,1,1
I01U_Core,The boy is being attacked by music notes.,0,0
I01U_Core,Dancing with a boy ,0,0
I01U_Core,Stoner,0,0
I01U_Core,A guy is dancing.,1,1
I01U_Core,Music is playing,0,0
I01U_Core,A boy is dancing to music. ,1,1
I01U_Core,"While music plays, the boy dances. ",1,1
I01U_Core,This boy dances to music.,1,1
I01U_Core,The music inspires this boy to dance,1,1
I01U_Core,The boy is dancing to music. ,1,1
I01U_Core,Music moves a young man's feet.,1,1
I01U_Core,A boy is dancing to music.,1,1
I01U_Core,"While listening to music, a boy is moving to the beat.",1,1
I01U_Core,A boy is moving to music.,1,1
I01U_Core,Music is inspiring a boy to move.,1,1
I01U_Core,The boy is jamming to some music.,1,1
I01U_Core,The boy is dancing like no one is watching,1,1
I01U_Core,A young man in dancing.,1,1
I01U_Core,The young man dances.,1,1
I01U_Core,A boy is dancing to music. ,1,1
I01U_Core,Music is playing and a boy is dancing. ,1,1
I01U_Core,A boy is dancing to some music.,1,1
I01U_Core,The music is causing the boy to dance.,1,1
I01U_Core,A boy is dancing to music.,1,1
I01U_Core,A boy is enjoying music.,0,0
I01U_Core,The guy is dancing to music.,1,1
I01U_Core,He is doing a happy dance to the music.,1,1
