I15U,I15U_Answer
a man is about to plant a tree,1
the man is planting a tree,1
a man is planting trees,1
a man is planting a tree,1
the man is planting tree,1
the man putting a tree into the hole he dig,1
this boy is build trees,0
a boy is planting a tree,1
the boy is planting a tree,1
the man is planting trees,1
the man's planting a tree,1
a man with red hat is planting a tree,1
a boy is planting a little tree,1
the boy is planting a small tree,1
the man is planting,1
a man wants to live a tree,0
a man is trying to plant a small tree in the field,1
the man is planting a little tree on the ground,1
he is planting the tree,1
he is planning a tree,1
a boy who is wear a blue shirt is planting a tree,1
a farmer is planting tree,1
he is planting a tree,1
the boy is a volunteering,0
a man is plantting a tree,1
"after he died a hole, he is trying to put a plant in ti the hole",1
a man help the tree grow up,0
the boy is planting the tree,1
the boy is making the tree,1
the man is planting the tree,1
a man is digging a hole for a small tree,1
the boy is growing the plant,1
a boy is building a tree,1
the man has dig a hole and is trying to planting the tree,1
the man is digging a hole on the ground and planting a tree,1
the boy is holding a little tree and try to put it in a hole that already dig,1
the man is digging a hole,1
the tree get plant,0
a young adult is doing gardening in a high temperature day,1
the boy is planting tree,1
the man is planting a baby tree into the ground,1
the boy is growing the tree,1
the man is planting the sapling in the hole,1
the tree is being planted by the man,1
the man is moving a tree out of his yard,1
the man is putting a tree in the ground,1
the man is holding a sapling,1
the ground is prepared for the man to plant the sapling,1
the nice man is planting a tree,1
the man just dug up a tree with a shovel,0
it is spring,0
the man is transplanting a tree,1
he is digging up a small tree,1
the man has dug a hold to plant a tree,0
spring has sprung and he is planting a tree,1
spring fever has hit so he is planning for the future by planting a shade tree,1
a tree is being planted by a man,1
"just prior to his divorce, a man celebrates with the removal of the tree that him and his wife planed the day they were married",0
a man does yard work in slippers,0
the man is planning a tree in his yard,1
the man is happy planning a young tree in his yard,1
man is planting a tree,1
man is replanting a tree,1
a tree is being palnted,1
a man is doing some landscaping,1
a guy plants a tree,0
a man planting a tree in his yard,1
a man is outside gardening,1
the man is planting a new tree,1
the man is replacing the tree,1
the man is planting a sapling,1
the man has just dug up a sapling,0
this guy is going green by planting new plants,1
this guy is excited to plant his first plant,0
man planting a tree,1
man removing a tree,1
a man has dug a hole and planted a tree,0
the man has dug the tree out of the ground and is now trying to strangle the tree to death because this man is insane,1
gardening,0
gardening with shovel,0
a hole has been dug so a sapling can be planted,0
the sapling is ready to be planted,1
plant dig by a man,0
a man digged and planted a tree,0
the man digs a hole for his new tree,0
time to plant the tree,0
its a nice day to plant a tree,0
the tree that is being planted is to replace another tree,1
where can i transplant this cannabis plant?,0
"hey, wait a minute, this ain't cannabis",0
the gardener is about to plant a tree,1
the gardener has just removed a tree from the ground,0
the man planting an apple tree for his mother,1
the man is planting a small tree,1
"in order to plant his small tree, the man first dug a hole with a shovel",0
a tree is planted,0
the man has dug a hole,0
a tree is being planted,1
this tree is being planted for landscaping,1
"in the summertime, a man is planting a tree in the hole in the ground",1
a man has dug a hole in the ground and is going to plant a tree,5
he is gardening,1
the man plants a tree,0
a tree bent planted by a men,0
a man in a blue tank top is planting a young tree,1
a man wearing a red cap and bedroom slippers is planting a nearly denuded shrub in a hole that is much too small,1
a hole was dug for a new tree to be planted,0
gardener is planting a sapling,1
he is excited to replant the tree,0
a man lovingly plants a sapling,0
a sapling finds a new home,0
planting a tree,0
a guy planting a tree,1
the man is putting the tree in the hole,1
man,0
a man is working for a conservation group planting trees,1
the man dug a hole to plant a tree,0
a man is planiting a tree,1
a shrub is being replanted by a man,1
the man in the red hat is excited to plant a tree,0
found my tree,0
loving it,0
the tree is dying,1
it is time to plant a tree,0
the boy is planting a tree to help the environment,1
he is planting a new tree,1
he dug a hole to put his new tree in,0
a gardener plants a small tree,0
the young man is planting a sapling,1
the young tree will soon occupy the newly-dug hole in the ground,0
the man has dug a whole and is planting a sappling,1
the tree is planted by the man,0
the man is planting a tree in the hole he dug,1
"eager to improve the landscaping for his house, the homeowner installs a new plant",0
the man plants a sapling,0
a man risks federal prosecution by removing a tree from a national forest,1
the man is happy,0
"it's summer, and time for yard work again",0
he planted a tree,0
the tree was planted by him,0
"the man is doing a ""green"" thing",1
a man plants a tree,0
a tree is removed from the ground,0
