I20T,I20T_Verif
the girl is strongly laughing,1
the girl is laughing,1
she is laughing,1
the girl is laughing so hard,1
the girl is laughing out loud,1
she's laughing,1
a girl is laughing,1
a girl is laughing happily,1
the girl is laughing with loudly voice,1
she is laughing till her sides split,1
the girl is chuckling,1
a young girl laughs,1
the girl is laughing about something,1
a yang girl is giggling,0
a red hair girl wears proper shirt is laughing,1
the girl is laughing loudly,1
the girl in purple is laughing,1
the girl is laughing happily,1
laughing,1
the girl is laughing hard,1
the girl is laughing hysterically,1
she laughed out loud,1
she is in hysterics,1
she is doubled over with laughter,1
she is cracking up,1
she is holding her stomach while she laughs,1
she is laughing very hard,1
the girl has a hearty chuckle,1
the girl thinks it is funny,1
she is reacting to something funny,1
she is laughing heavily,1
the girl is chuckling loudly,1
this girl is laughing hard,1
the girl is expressing joy over an event,0
the girl in the purple dress is laughing a lot,1
the girl is holding her stomach while she laughs,1
speaking,0
she is passing gas,0
burping,0
the girl thinks something is funny,1
the girl just heard something funny,0
the girl is dancing,0
giggling,1
she's happy,1
the girl is falling backward,0
the girl is laughing heartily,1
she is folded over guffawing,1
the girl has heard a funny joke and is laughing,0
girl is laughing out loud,1
the girl's sides hurt from laughing too much,1
the girl is laughing her head off,1
the lady in purple is laughing so hard her stomach hurts,1
she is giggling,1
smiling,1
the little girl is laughing,1
girl ate a 2x4 and is vomiting toothpicks,0
laughing out loud,1
reacting to a funny thing,1
the girl is having fun,1
she is happy,1
laughing is good for the soul,0
ha ha ha goes the girl as she laughs,0
holding her tummy while laughing,1
laughing at something funny,1
stomach hurt,0
crying,0
this girl is laughing so hard that she is coughing,0
this girl thought something was very funny,1
the girl is coughing,0
she is laughing uncontrollably,1
lol \,0
she is laughing so hard her stomach hurts,1
she is laughing out loud,1
the girl is cracking up laughing,1
the joke was so funny and i could not stop laughing,0
humor makes the world a better place,0
the girl is laughing a lot,1
the girl is holding her stomach in pain,0
she is responding to a stomach ache,0
the girl is singing,0
the girls heard a funny joke,0
this girl is laughing,1
she is hysterically laughing because of what she just heard,0
the child is laughing,1
she's holding her belly,1
she is singing,0
she is putting her hand on her stomach,1
taking picture,0
the girl is giggling,1
she is laughing at something funny,1
she is really laughing,1
she is laughing loudly,1
the girl finds something funny,1
she heard a joke,0
the girl in the purple dress is laughing,1
laughing at her little brother,0
she is sneezing,0
the girl's sides ache,1
the girl thinks that was really funny,1
the girl's eyes are closed,1
the girl is really laughing,1
she's laughing out loud,1
she is laughing aloud,1
having a bad stomach ache,0
she's having a belly laugh,1
i have to poop so bad,0
lets play battle shits,0
outloud,0
the girl is making a funny noise,1
the girl is laughing very hard,1
projecting loudly,1
