ResponseID,Response,Core,Answer,Gramm,Interp,Verif,parse,ldh,xdh,xdx
I11U-gNSF-p143-r2,The man is listening to the chid's question.,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	man	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	listen	_	VBG	VBG	_	0	root	_	_
5	to	_	TO	TO	_	0	erased	_	_
6	the	_	DT	DT	_	7	det	_	_
7	chid	_	NN	NN	_	9	poss	_	_
8	's	_	POS	POS	_	0	erased	_	_
9	question	_	NN	NN	_	4	prep_to	_	_
10	.	_	.	.	_	4	punct	_	_","['det$@%the$@%man', 'nsubj$@%man$@%listen', 'aux$@%be$@%listen', 'root$@%listen$@%VROOT', 'erased$@%to$@%WORDERASED', 'det$@%the$@%chid', 'poss$@%chid$@%question', ""erased$@%'s$@%WORDERASED"", 'prep_to$@%question$@%listen', 'punct$@%.$@%listen']","['x$@%the$@%man', 'x$@%man$@%listen', 'x$@%be$@%listen', 'x$@%listen$@%VROOT', 'x$@%to$@%WORDERASED', 'x$@%the$@%chid', 'x$@%chid$@%question', ""x$@%'s$@%WORDERASED"", 'x$@%question$@%listen', 'x$@%.$@%listen']","['x$@%the$@%x', 'x$@%man$@%x', 'x$@%be$@%x', 'x$@%listen$@%x', 'x$@%to$@%x', 'x$@%the$@%x', 'x$@%chid$@%x', ""x$@%'s$@%x"", 'x$@%question$@%x', 'x$@%.$@%x']"
I11U-gNSF-p151-r2,The man is being asked a question by the boy.,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	man	_	NN	NN	_	5	nsubjpass	_	_
3	be	_	VBZ	VBZ	_	5	aux	_	_
4	be	_	VBG	VBG	_	5	auxpass	_	_
5	ask	_	VBN	VBN	_	0	root	_	_
6	a	_	DT	DT	_	7	det	_	_
7	question	_	NN	NN	_	5	dobj	_	_
8	by	_	IN	IN	_	0	erased	_	_
9	the	_	DT	DT	_	10	det	_	_
10	boy	_	NN	NN	_	5	agent	_	_
11	.	_	.	.	_	5	punct	_	_","['det$@%the$@%man', 'nsubjpass$@%man$@%ask', 'aux$@%be$@%ask', 'auxpass$@%be$@%ask', 'root$@%ask$@%VROOT', 'det$@%a$@%question', 'dobj$@%question$@%ask', 'erased$@%by$@%WORDERASED', 'det$@%the$@%boy', 'agent$@%boy$@%ask', 'punct$@%.$@%ask']","['x$@%the$@%man', 'x$@%man$@%ask', 'x$@%be$@%ask', 'x$@%be$@%ask', 'x$@%ask$@%VROOT', 'x$@%a$@%question', 'x$@%question$@%ask', 'x$@%by$@%WORDERASED', 'x$@%the$@%boy', 'x$@%boy$@%ask', 'x$@%.$@%ask']","['x$@%the$@%x', 'x$@%man$@%x', 'x$@%be$@%x', 'x$@%be$@%x', 'x$@%ask$@%x', 'x$@%a$@%x', 'x$@%question$@%x', 'x$@%by$@%x', 'x$@%the$@%x', 'x$@%boy$@%x', 'x$@%.$@%x']"
I11U-gNSF-p294-r2,The older boy is patiently waiting for the younger boy to grasp a concept.,0,1,1,0,0,"1	the	_	DT	DT	_	3	det	_	_
2	older	_	JJR	JJR	_	3	amod	_	_
3	boy	_	NN	NN	_	12	xsubj	_	_
4	be	_	VBZ	VBZ	_	6	aux	_	_
5	patiently	_	RB	RB	_	6	advmod	_	_
6	wait	_	VBG	VBG	_	0	root	_	_
7	for	_	IN	IN	_	0	erased	_	_
8	the	_	DT	DT	_	10	det	_	_
9	younger	_	JJR	JJR	_	10	amod	_	_
10	boy	_	NN	NN	_	6	prep_for	_	_
11	to	_	TO	TO	_	12	aux	_	_
12	grasp	_	VB	VB	_	6	xcomp	_	_
13	a	_	DT	DT	_	14	det	_	_
14	concept	_	NN	NN	_	12	dobj	_	_
15	.	_	.	.	_	6	punct	_	_","['det$@%the$@%boy', 'amod$@%older$@%boy', 'xsubj$@%boy$@%grasp', 'aux$@%be$@%wait', 'advmod$@%patiently$@%wait', 'root$@%wait$@%VROOT', 'erased$@%for$@%WORDERASED', 'det$@%the$@%boy', 'amod$@%younger$@%boy', 'prep_for$@%boy$@%wait', 'aux$@%to$@%grasp', 'xcomp$@%grasp$@%wait', 'det$@%a$@%concept', 'dobj$@%concept$@%grasp', 'punct$@%.$@%wait']","['x$@%the$@%boy', 'x$@%older$@%boy', 'x$@%boy$@%grasp', 'x$@%be$@%wait', 'x$@%patiently$@%wait', 'x$@%wait$@%VROOT', 'x$@%for$@%WORDERASED', 'x$@%the$@%boy', 'x$@%younger$@%boy', 'x$@%boy$@%wait', 'x$@%to$@%grasp', 'x$@%grasp$@%wait', 'x$@%a$@%concept', 'x$@%concept$@%grasp', 'x$@%.$@%wait']","['x$@%the$@%x', 'x$@%older$@%x', 'x$@%boy$@%x', 'x$@%be$@%x', 'x$@%patiently$@%x', 'x$@%wait$@%x', 'x$@%for$@%x', 'x$@%the$@%x', 'x$@%younger$@%x', 'x$@%boy$@%x', 'x$@%to$@%x', 'x$@%grasp$@%x', 'x$@%a$@%x', 'x$@%concept$@%x', 'x$@%.$@%x']"
I11U-gNSF-p295-r2,The boy is asking his teacher about something.,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	boy	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	ask	_	VBG	VBG	_	0	root	_	_
5	he	_	PRP$	PRP$	_	6	poss	_	_
6	teacher	_	NN	NN	_	4	dobj	_	_
7	about	_	IN	IN	_	0	erased	_	_
8	something	_	NN	NN	_	4	prep_about	_	_
