I27T,I27T_Verif
the girl is singing,1
she is singing in public,0
she is singing,1
the girl is singing a song,1
the girl is singing happily,1
she's singing,1
she is singing song,1
a girl is singing,1
a girl is singing loudly,1
the girl is singing beautifully,5
she is singing the song,1
the girl is singing songs,1
a little girl is singing,1
the girl is sining,1
the girl is singing a song delightedly,1
the girl is singing a song happily,1
singing,1
the little girl is singing,1
she is singing a song,1
the girl is performing music,1
she is expressing joy by singing a song,1
the girl is auditioning and singing a song,0
she is a belting a tune,1
the girl is performing,1
she is expressing herself through song,1
the girl is using her voice to match the melody playing around her,0
the girl in the purple dress is singing a song,1
the girl is happy to be singing,1
karaoke,0
she is yodeling,0
performing,1
the girl is performing a song,1
the girl is practicing for a musical performance,0
talking,0
making music,1
the girl is singing out loud,1
the girl is signing,0
the girls is singing a song,1
the girl is playing music,0
the girl is chirping in song,0
the girl is singing to her favorite music,0
girl is singing,1
girl is happy when she sings out loud,1
the girl in the purple dress is singing at the top of her lungs,1
smiling,1
the little girl is singing a song,1
"with no friends of her own, susie sings to a make believe audience",0
the girl is in choir,0
the girl is happy,1
the music is delightful,5
she has a good voice,0
singing a song,1
trying to carry a tune,1
crowd,0
the girl is singing loudly,1
the girl is wearing a dress,1
she is singing badly,0
asdf,0
asfd,0
she is singing loudly,1
the little girl is surprised to see musical notes coming out of her mouth,0
the girl is belting out a song,1
judy loves to sing for other people,0
singing is good exercise for a person's lungs,0
the girl is happily singing,1
same,0
she is trying to sing,1
the girl is standing,1
she is joyfully singing,1
she is breathing in music notes,0
she is getting high,0
girl singing,1
the girl is standing with her arms out,1
the girl sings,1
the girl is singing with her arms outstretched,1
auditioning for a broadway musical,0
she is dancing,0
the girl is singing a happy song,1
she's singing out loud,1
singing loudly,1
probably complaining,0
"oh, oh, oh, oh, oh, oh-oh-e-oh-oh-oh i'll get him hot, show him what i've got",0
outloud,0
the girl is performing in a musical,0
the girl sings a song,1
the girl is singing a melody,1
the girl is singing,1
this little girl is singing,1
