I18U,I18U_Answer
a man is coughing,1
he is have a ill,0
the man sick,0
the superman is coughing,1
a man is making noise,1
the man is sick,0
the man is illness and he is cough,0
a man is uncomfortable,0
the illness man is coughing,1
the man is illness,0
this man gets tired,0
th man is doing b-box,1
the man is having a cough,1
a man is being sick,0
the man is trying to make everyone quiet,1
he is getting cold,1
the man is feeling uncomfortable,1
the man is going to kiss his fist,5
a man is shouting,1
a man got a cold,0
this man is coughing,1
the man is pretending he is singing with one microphone,1
the man is feeling not pretty well,1
this man wants to kiss his hand,0
a man is coughing into his hand,1
a man cover's his mouth in order to cough,0
the man is sick and covering his cough,1
a man (it may be superman) is coughing into his clenched fist,1
superman is coughing or sneezing into his clenched fist,1
a man is covering his mouth,1
"the man is in the middle of playing rock, paper, scissors",1
the man isn't feeling well today,0
a sick man is coughing,1
the man is covering his mouth while he coughs,1
the man is punching himself in the mouth,1
the man is punching himself in the nose,1
his hand is receiving a sneeze,1
a man is clearing his throat,1
the polite man raises his fist to cover his cough,0
the man is holding his fist close to his mouth,1
the man has a cold,0
good,0
feel good,0
a man in a red shirt is coughing,1
a man is coughing in his fist,1
the man doesn't feel well,0
a man is covering his cough with his fist,1
a man coughs,0
a guy politely covers his mouth while he is coughing,1
man is coughing,1
the man is mad,0
man is waking up from sleep,1
a man is coughing into his fist,1
the man is covering his mouth due to coughing,1
a man is going to cough,1
a man is clinching his fist,1
the image is not loading,0
the image did not load on the computer,0
a man is sneezing,1
the man has a terrible cough,0
the man is using his hand to try to stop his cough from going anywhere,1
a man is hiding a cough with his hand,1
he was coughing,0
he coughed in his hand,0
the man is covering his cough with his hand,1
the young muscle man is trying to imagin iron in his fists,1
iron in his fists makes his a winner in the ring,0
the man has a cough,0
there is a coughing man,5
"the man in the red shirt is covering his mouth, while he coughs politely",1
the man is coughing into his balled fist,1
elvis blows on the craps dice,0
fist surprise punches elivis in the mouth! wham,0
a man is punching himself in the face,1
the man is covering his cough with his fist- but not very well,1
the man is about to sneeze,5
the man is pretending to use a microphone,1
a man his hitting himself in the face,1
the man in the red t-shirt is sneezing,1
look how he covers his sneeze with his hand,0
a cough is being covered by the man,1
a man is singing with an air microphone,1
the cough got to the man,0
the man is loudly clearing his throat,1
the man is coughing due to a cold,1
a person is coughing,1
the man looks ill,0
he have a cough,0
a man is fighting a sneeze,1
the man is using his hands to close his mouth,1
man coughs,0
"in the moment before he magically transforms into a superhero, the protagonist's anger begins to explode",0
joe has a cold,0
joe is covering his cough,1
a man has a cough,0
the man is trying to cover his cough,1
"paul, the man in the red shirt, has been struggling with having a cold all week and still has a nasty cough",0
an adult is coughing into his hand,1
an adult is coughing and covering his mouth. how many more examples do you need to see one ends their sentences with a noun? enough already,1
a man in a red shirt coughs,0
h,0
this man is covering his mouth while he coughs,1
a man is covering his mouth while coughing,1
this man is sneezing into his hand,1
man is trying to sneeze into his fist,1
coughing,0
covering mouth,0
what the,0
fuck,0
the stud in the red shirt is singing karaoke,1
the blind one armed man in the red shirt is sneezing,1
that man is coughing very loud,1
david is sick today,0
being safe,0
sick guy,0
the man is hitting himself in the face,1
