I29T,I29T_Verif
the woman is carrying a dog with her hands,1
the woman is playing with a dog,1
she is cuddling a cute puppy,1
the woman is holding the pat,1
the woman is smiling while holding a cat,0
the woman is loving her dog,1
she hug the dog,1
the woman is hugging a dog,1
she is happy. she holds her dog. she seems talk to this dog,1
the woman is hugging the dog,1
the woman carry the dog,1
the woman is enjoying her time with her dog,1
she's holding the puppy laughing,1
she is holding his pet,0
the woman is holding a dog with a smiling face,1
the woman is hanging her pet,0
a woman is hugging a dog happily,1
the woman is playing with her dog,1
a girl is happily to huge a cat,0
the woman is hanging a pet,0
she is hugging a pup amusedly,1
the woman is cheerfully hugging her cat,0
she is taking care of her dog,1
she hugs her cute dog,1
the woman is putting a dog in front of her body,1
the woman is playing with dog,1
the woman is holding a dog happily,1
she is cuddling with the dog,1
the woman is smiling with a dog in her arms,1
the woman is petting her dog,1
woman holds a cat,0
the woman is holding the puppy,1
the woman is hanging a dog,0
a women is holding his lovely dog and smiling happy,0
the woman is holding her cat with joy,0
the woman is holding her dog,1
the woman is holding the dog,1
the woman is holding a dog,1
the woman is holding a dog,1
the woman is holding a pet,1
she is hugging a pet in her arms,1
she is embracing a dog,1
she is hugging a dog,1
the woman is hugging the cat,0
she is playing with a dog,1
the woman is hugging a dog and laughing,1
the woman is playing with a dog happily,1
the woman is hug her dog,1
the woman is holding her puppy in her arms,1
the woman is cuddling her dog,1
the woman is hugging a cat,0
the girl has a pappy,0
a woman is hugging a puppy,1
the woman is babysitting the dog,1
the woman is holding a dog in her arms with a big smile,1
the woman is playing with her pet,1
hugging her pet dog,1
she is holding her dog,1
the woman is hugging a puppy,1
the woman is hugging her dog,1
she is showing her love for the pet,1
the woman is holding a dog,1
the woman is holding a dog,1
the woman is hugging the puppy,1
the woman is hugging her puppy,1
she is happy that she has a dog to hug,1
the woman is petting her cute puppy,1
the woman is giving her dog a hug,1
she is hugging a puppy,1
the woman loves her dog,1
she is hugging the dog,1
the woman is cuddling a puppy,1
she is holding a dog,1
she is hugging her dog,1
she is loving her pet,1
she is hugging a small dog,1
the woman is cuddling a small dog,1
the woman is loving on her cat,0
the woman is showing joy over her pet,1
the woman is cuddling with her pet,1
the woman is cuddling her dog after coming home,1
hugging the dog,1
embracing the dog,1
hugging the cat,0
loving life,0
petting dog,1
hugging new dog,1
the woman is happy that she has a dog to hug,1
showing love,1
loving her pet,1
holding a dog,1
she is hugging the doggy,1
hugging her dog,1
celebrating with her pet,0
she is squeezing her pup in love,1
woman is cuddling her puppy,1
woman is happy she has her puppy to love,1
the women is holding the little dog,0
the women in the blue dress is cuddling with the puppy,1
smiling,1
the lady is hugging the fluffy dog,1
a woman hugs a dog,1
"after princess ate her prize orchid, sally decided to break its neck",0
the woman is happy holding her pet,1
the woman is thrilled to be with her pet,1
the woman is cuddling the dog,1
"i love hugs, ruff, ruff",0
boy you feel furry,0
laughing at her dog,1
holding cat,0
laughing,1
the woman is holding a puppy,1
the woman is happy,1
she is saving money by performing the euthanasia herself,0
the dog loves the woman,1
the girl is hugging the dog,1
she is hugging a dog cause she is single and probably allergic to cats,0
msa,0
asd,0
giving her dog some loves,1
she is holding a doggy,1
she's thinking about the last time she did it doggy style,0
the lady is hugging her dog,1
the lady is snuggling her dog,1
the woman is cuddling a puppy with joy,1
cindy loves her new pet,0
a new puppy is always so cute,0
hugging a dog,1
getting hair all over her dress,1
the woman is talking to her dog,0
she is enjoying the dog,1
she is conveying pleasure,1
the woman is squeezing,1
the woman is standing,1
the woman is giving love to her dog,1
the woman is holding her pet,1
the dog is enjoying being held by the woman,1
she is laughing,1
holding dog,1
she is hugging her pet dog,1
the woman is showing her dog love by hugging it,1
she is cuddling her dog,1
she is happy with the dog,1
the woman is holding some unidentifiable furry beast,1
the woman is holding what appears to be a miniature lion,0
holding her dog,1
enjoying the companionship of her 4 legged friend,1
gossiping about the dog,0
the woman is snuggling with her puppy,1
the woman is enjoying the company of her dog,1
she's holding a puppy and looks happy,1
smiling while holding a dog,1
cuddling her cat,0
smiling while holding her cat,0
she's giving the dog a hug,1
loving her furby,0
strangling a small animal,0
holding,0
a dog,0
the woman is hugging her dog with delight,1
the girl hugs a dog,1
the girl squeezes the dog in her arms,1
