I19U,I19U_Answer
the woman is taking a picture,1
the woman is taking the picture,1
the girl is taking the picture,1
the woman is taking a photo,1
the man is taking the photo,1
a woman is taking a picture with her camera,1
the girl is taking a photo,1
the girl is taking a photo of her family,1
a woman is taking photo,1
the women is taking a picture,1
the woman is using a camera to take picture,1
a woman is taking a photo,1
the woman is wearing a blue t-shirt and taking a picture,1
the girl is taking a photo with a camera,1
the girl is taking a picture,1
the woman is taking pictures for others,1
a lady is taking a photo,1
a girl is taking a photo,1
this young lady is taking pictures,1
the woman is taking pictures with her camera,1
the woman is taking picture,1
the woman is clicking pictures,1
the young woman is taking a picture,1
a woman is taking a picture with a camera,1
the woman is taking photos with flash on,1
she is taking a picture,1
the woman is taking photos,1
a girl is taking photos,1
the girl is taking pictures,1
she is taking pictures,1
the woman is taking photography,1
the woman is taking the photos,1
the lady is taking a photo,1
the woman uses camera to take pictures,0
the woman is taking a photo by the camera,1
she is making a photo,1
the woman is using a camera to take a picture,1
the girl is photographing,1
a woman is taking pictures,1
a woman is taking photos,1
a girl just took a photo,0
the women clicks the flash button of the camera,0
the woman is taking the photo,1
the woman is showing her camera,1
he is taking a photo by using camera,1
the woman is photographing,1
this lady is taking a picture,1
the woman is taking pictures,1
the woman is using her camera,1
the woman is taking a picture for some stuff,1
a woman is taking a photograph,1
a girl is taking a picture with a camera,1
a lady takes a picture with a camera,0
the camera flashes as it takes a picture,0
a woman takes a picture with the flash on,0
the woman is taking a photograph,1
the woman is taking a photograph with the flash on,1
she's taking a photo,1
a picasso-esque woman with black vacant eyes is using an old-timey point-and-shoot camera to take a picture of something,1
a photograph is being taken with an old-timey point-and-shoot camera by a picasso-esque woman with black vacant eyes,1
the camera is flashing,1
a woman is taking a picture,1
the woman is holding a camera,1
the woman is using a camera,1
the woman is taking a selfie,1
the girl is holding a camera,1
she is snapping a photo,1
a lady is using the flash on her camera to take a picture,1
the girl got a new camera,0
the girl is taking a picture of herself in the mirror to see if she has truly become a vampire,1
the camera is fulfilling its duty as an inanimate object,1
the lady is taking a picture,1
the camera flash went off,0
the woman snaps a photograph,0
the lady takes a flash photograph,0
the lady is aiming her camera,1
the woman is taking our picture,1
the woman is a photographer,0
none,0
a woman in a blue shirt is taking a picture,1
a woman in a blue shirt is using a camera,1
the flash is bright,0
a woman is using a camera to take a photo,1
a woman snaps a photo,0
a girl takes a picture,0
the girl is holding the camera,1
the girl is ready to click a camera to take a picture,1
a woman is taking a flash photo with a camera,1
a woman in a blue dress is using a traditional camera to take a flash photo,1
the lady is showing someone her camera,1
the woman is snapping a picture,1
the flash is on the camera,0
the women too a picture with a blue camera,0
"the girl tries to take a picture, but, it doesn't seem to be working",0
a picture is being taken by a woman,1
the lady took a picture,0
a picture of a lady taking a picture,0
the girl is using her camera,1
smile for the camera,0
the young woman is trying totake a photo of someone not seen. she is asking that they smile,1
she is talking a picture,1
the woman took a picture,0
a picture is being taken by a women,1
this lady is taking a picture of herself in a mirror,1
this lady is using a digital camera to take a picture of something,1
the camera flashes as the woman takes a picture,0
alice's samsung with weird case explodes in her hand,0
phone explodes during selfie,0
the woman is carelessly taking a photograph,1
this might not be a very good photo that she is taking because she is not looking though the viewfinder,1
the lady is about to take a picture,5
the lady has just taken a picture and someone is asking her a question,1
a woman is holding a camera,1
a camera is being held by a woman,1
is she taking a picture of a selfie?,0
the young lady loves her new camera,0
the lady is taking a photo with the camera,1
the camera is being used by the lady,1
the girl has a camera,0
a lady is taking a picture,1
the girl is using flash on her picture,1
the lady is taking a pic,1
the lady took a pic,0
the woman snaps a picture,0
the camera is flashing for the picture,1
a person is taking a picture,1
a picture is being taken by a \person,1
i can't think of another one,0
she have a camera,0
she's shooting picture,1
a camera is being used,1
a woman is taking a snapshot,1
the lady is snaping picture,1
the camara is used by the lady,0
camera flashes prematurely,0
woman takes lousy picture,0
sally took my picture,0
i let sally take my picture,0
let me take your picture,0
would you mind if i were to take your picture for my school newspaper?,0
a girl takes a picture in a blue shirt,0
s,0
h,0
woman is taking a picture with a camera,1
woman uses two hands to take a picture,0
taking pictures,0
flash,0
hahaha,0
a beautiful woman is taking pictures of her loved ones,1
an antique camera is used by a 15 year old girl,0
hey! quit taking my picture,0
the woman's right hand just exploded,0
