I30U,I30U_Answer
the woman is jogging,1
the woman is running,1
she is jogging,1
the woman is joking,1
she is running,1
she's jogging,1
the woman is doing exercise,1
the woman is running right now,1
the woman is training,1
the woman is running or jogging,1
the woman is judging,1
the woman is exercising,1
the woman is running in an average speed with her sport-fit cloths,1
the woman is jogging and breathing heavily,1
the woman is going for a jog,1
the woman is going for a run,1
the woman is working out,1
she is exercising,1
the woman is getting some exercise,1
the woman is trying to be healthy,1
she is going on a run,1
she is jogging down the street,1
the woman is getting in a run,1
the woman is trying to get fit,1
she's running for health,1
she is wearing a red shirt,1
she is training for a triathlon cause she is trying to prove herself to the world and her feminist group,1
"she's wondering if anyone thinks her pony tail is sexy. (by the way, it is)",1
the woman is walking,1
the woman is running a race,1
she is trying to be someone that the magazine tells her she should be. she would rather stay at home and eat a whole lot of cupcakes,1
the woman is farting,1
she is wearing pink shoes,1
she is a runner and she is running,1
the woman is trotting,1
the woman is jogging for exercise,1
the woman is running for exercise,1
the woman is exercising by running,1
