I02TU,I02TU_Gramm
the kid is eating the pizza,1
the boy is eating,1
he is eating the pizza,1
the boy is eating a pizza,1
the boy is eating pizza,1
a boy is trying to eat a pizza,1
he is eating a pizza,1
the boy is eating a piece of pizza,1
this boy is preparing to eat the delicious pizza,1
a short boy is going to eat a pepperoni pizza,1
he is eating,1
the child is about to eat a slice of pizza,1
the boy is eating the pizza,1
the kid is eating pizza,1
he is eating pizza,1
a boy is eating pizza,1
a fat kid is eating a delicious pizza,1
a little boy is eating a piece of pizza,1
the boy is about to eat a pizza,1
a little boy is eating a pizza,1
the boy is eating a pizza slice,1
he is eating a piece of pizza,1
the boy is eating a slice of pizza,1
the boy is eating a piece of the pizza,1
the boy is eating the piece of pizza,1
the child is eating pizza,1
this boy is eating a pizza,1
eating pizza,1
a baby is eating pizza,1
the little kid is enjoying the pizza,1
the boy enjoys his pizza,1
the boy is eating a delicious pizza,1
the boy is taking a bite from a slice of pizza,1
the little boy is eating pizza,1
a boy is eating a big slice of pizza,1
a boy is eating a piece of pizza,1
the boy in green shirts is eating a piece of the delicious pizza,1
the kid is eating a pizza,1
a boy is eating a slice of pizza,1
the boy is eating for pizza,0
a boy is eating a pizza,1
the child is eating a piece of pizza,1
the boy is hungry and eat a piece of pizza,0
the boy is enjoying his pizza,1
he's having a pizza,1
the boy is eating a pizza because he is hungry,1
a boy is going to eat a big pizza,1
the boy is going to eat a piece of pizza,1
the boy is eating a delicious-looking pizza,1
a body eats a slice of pizza,0
a boy who wear a green t-shirt is eating a piece of pizza,0
a boy is having pizza,1
the little boy is eating a piece of pizza,1
he is eating a slice of pizza,1
the boy is about to eat the pizza,1
a boy is putting a piece of pizza in his mouth,1
a lovely boy eats a pizza,1
the little boy is having a piece of pizza,1
the boy is trying to eat a piece of pizza,1
the boy is preparing to eat a pepperoni pizza,1
the little boy is eating a whole piece of pizza,1
a little boy is eating a slice of pizza,1
the boy is hungry,1
a little boy is having a slice of pizza,1
the boy is going to eat a delicious pizza,1
the boy is having a slide of pizza,0
the boy is eating his pizza,1
the little boy is eating the pizza,1
the boy has his mouth open to consume pizza,1
the boy is excited to eat pizza,1
the boy is gleefully enjoying a slice of pizza,1
the boy is biting a piece of pizza,1
he is getting ready to take a bite of pizza,1
the boy is having lunch,1
the boy is viewing the food he is about to ingest,1
he is about to chow down on some pizza,1
he is about to take a bite of pizza,1
the boy is about to eat a slice of pizza,1
the boy is enjoying food,1
the boy is having a bite of pizza,1
how is the pizza staying perfectly horizontal when the boy is holding it so close to the tip?,1
he's eating pizza,1
he's having lunch,1
the boy appears to be getting ready to bite in to a slice of pizza,1
the boy appears to be savoring his first bite of a slice of pizza,1
while standing up,0
the boy is standing eating pizza,1
enjoying pizza,1
he is looking at the pizza,1
the boy is eating lunch,1
the boy is going to eat a slice of pizza,1
the boy is holding a slice of pizza,1
the child is enjoying a snack,1
eat sausage,0
hungry,0
he's looking forward to eating the pizza,1
his mouth is watering,1
the boy is ready to take a bite out of a piece of pizza,1
enjoying it,1
the boy is having a slice of pizza,1
he is consuming a slice of pizza,1
the boy is eating pepperoni pizza,1
the boy is anxiously awaiting for the pizza to enter his mouth,1
he's stuffing his face,1
this boy is eating pizza,1
boy is enjoying a pizza,0
eating lunch,1
pizza is this boys favorite food,0
this young man is enjoying his cheese pizza,1
he's pigging out,1
