I03U,I03U_Answer
the man is delivering the package to the woman,1
the man is handing package to the woman,1
he is passing the box to the girl,1
he is handing a package,1
the man is handing a package to his client,1
he is sending a box to a woman,1
he is giving the package to the young lady,1
he is passing a box to a woman,1
the man is delivering package,1
the man is passing a package to a sitting office lady,1
the man is putting the package to the woman,1
he is passing a package to the woman,1
he is delivering packages,1
the man is giving a woman a gift,1
the man is handing over a package to the lady,1
the man is giving a box to a woman,1
the man is delivering a package to the woman,1
the man is delivering a package,1
he is delivering a package to a woman,1
the man is looking the young lady,1
the man is handing a box to a woman,1
he is delivering a package,1
the man is giving the package to the woman,1
he is giving a box to the girl,1
he is sending a package,1
the man is handing a box to the lady,1
the man is passing a package to the woman,1
the man is giving a package to a woman,1
the man is delivering,1
the man is giving the package to the female officer,1
he is sending the gift for the women,1
the man give a gift to female,1
the man is helping the girl to pick up her package,1
he is giving the package to the woman,1
the man is handling a mailbox to the woman,1
the man is passing the package to the lady,1
the man is giving a delivery to a woman,1
the man delivered one package to one female staff,1
the man is handing a package to a front desk lady,1
the man is giving the box to the woman,1
the man is delivering a package to a woman in an office,1
the man is giving a parcel to a lady,1
he is handing a lady a box,1
the man is delivering a package to a woman,1
the man is handing over a package to recipient,1
he's delivering a package,1
he's handing a box to the lady,1
the man is making a package delivery to an office,1
the man is giving the woman a package,1
he is handing a package to the woman,1
the man is handing a packing to the lady,1
the man is feeling a sort of romantic feeling for the woman in front of him,1
the man is giving a package to the woman,1
he is dropping off a package,1
he is handing the woman a box,1
he is presenting a gift,1
the man is delivering a package so the smoking hot receptionist,1
he's handing the woman a package,1
the man appears to be in the process of handing a package to a lady behind a desk,1
the man appears to be delivering a package,1
handing the lady a package,1
taking a package from the woman,1
delivering a package to the woman,1
the man is flirting with the woman,1
the man is picking up a package,1
he's picking up a package,1
the man is giving and delivering a box to the lady,1
he is delivering a box,1
the man is handing a package to the young lady,1
the man is delivering a package to the receptionist of a well known law office,1
the man is admiring the woman,1
he's giving her a box,1
the man is delivering a package to a company,1
he is dropping a package off at its location,1
the man is picking up a package to deliver,1
providing the female with a delivery,1
handing the girl a package,1
taking a package from the girl,1
the man is handing a package to the woman,1
the woman is taking a delivery,1
he is handing the woman a package,1
the man is handing her mail,1
the man is giving the woman a piece of mail,1
he is handing a box to the woman at the desk,1
the man is handing a package to the secretary,1
handing the secretary a package,1
receiving a package from the secretary,1
he is delivering a package to the receptionist,1
the man is working,1
the man is delivering a package to the receptionist,1
he is delivering a package to what appears to be an office recptionist,1
the man is delivering package to the woman,1
he is handing a package to a woman,1
the man is delivering the package,1
the man is handing over the package,1
the man is handing the woman a package,1
the woman is accepting the package delivery,1
t.he man is accepting a package,1
